Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,Cluster,clustering,eigencentrality,Cluter-ID
Meredith Stransky  ,Meredith Stransky  ,,89,89,178,89,89,178,2,0.523311,0.544545,0.000705,0.027919,0.027919,8,0.000904,0,0,0,0.099336,0.70464,0
Katina Gillespi  ,Katina Gillespi  ,,113,113,226,113,113,226,2,0.529973,0.556557,0.001133,0.035572,0.035572,8,0.001107,0,0,0,0.100032,0.897663,0
Carmela Smyers  ,Carmela Smyers  ,,86,86,172,86,86,172,2,0.52249,0.543043,0.000667,0.02669,0.02669,4,0.00088,0,0,0,0.098495,0.673798,0
Huong Polhemus  ,Huong Polhemus  ,,107,107,214,107,107,214,2,0.528292,0.553554,0.001012,0.033562,0.033562,2,0.001057,0,0,0,0.100688,0.847057,0
Floyd Robinett  ,Floyd Robinett  ,,85,85,170,85,85,170,2,0.522216,0.542543,0.000637,0.026645,0.026645,4,0.00087,0,0,0,0.103361,0.6726,0
Daphine Lynn  ,Daphine Lynn  ,,107,107,214,107,107,214,2,0.528292,0.553554,0.001033,0.033298,0.033298,1,0.001058,0,0,0,0.095045,0.840486,0
Pearle Dimeo  ,Pearle Dimeo  ,,87,87,174,87,87,174,2,0.522763,0.543544,0.000697,0.027013,0.027013,4,0.000889,0,0,0,0.093023,0.681948,0
Lucie,Lucie,,90,90,180,90,90,180,2,0.523585,0.545045,0.000725,0.028109,0.028109,4,0.000913,0,0,0,0.098127,0.709466,0
Katherine,Katherine,,91,91,182,91,91,182,2,0.523859,0.545546,0.000735,0.02862,0.02862,8,0.000921,0,0,0,0.101099,0.722305,0
Aneeqa Tanveer,Aneeqa Tanveer,,109,109,218,109,109,218,2,0.528851,0.554555,0.001039,0.034445,0.034445,8,0.001073,0,0,0,0.099728,0.869149,0
Meri Zindage Ho Tum,Meri Zindage Ho Tum,,90,90,180,90,90,180,2,0.523585,0.545045,0.000707,0.028413,0.028413,7,0.000912,0,0,0,0.10362,0.717085,0
Arwen,Arwen,,101,101,202,101,101,202,2,0.526621,0.550551,0.000918,0.031549,0.031549,6,0.001006,0,0,0,0.102772,0.796251,0
Tommy,Tommy,,107,107,214,107,107,214,2,0.528292,0.553554,0.001016,0.033637,0.033637,4,0.001056,0,0,0,0.090813,0.848904,0
Malcum,Malcum,,102,102,204,102,102,204,2,0.526899,0.551051,0.000927,0.032003,0.032003,8,0.001015,0,0,0,0.094156,0.807678,0
Thaliya,Thaliya,,98,98,196,98,98,196,2,0.525789,0.549049,0.000856,0.030659,0.030659,8,0.000981,0,0,0,0.099306,0.773778,0
Akram,Akram,,98,98,196,98,98,196,2,0.525789,0.549049,0.000901,0.030025,0.030025,4,0.000984,0,0,0,0.087313,0.758012,0
Gabriel,Gabriel,,90,90,180,90,90,180,2,0.523585,0.545045,0.000712,0.028403,0.028403,4,0.000912,0,0,0,0.101873,0.716841,0
Mehak,Mehak,,100,100,200,100,100,200,2,0.526344,0.55005,0.000865,0.031666,0.031666,6,0.000996,0,0,0,0.103232,0.799113,0
Ronnie,Ronnie,,120,120,240,120,120,240,2,0.531949,0.56006,0.001308,0.037377,0.037377,7,0.001168,0,0,0,0.09916,0.943301,0
Dashing Hunk II,Dashing Hunk II,,111,111,222,111,111,222,2,0.529412,0.555556,0.001074,0.034976,0.034976,6,0.00109,0,0,0,0.108927,0.882581,0
Kayla,Kayla,,114,114,228,114,114,228,2,0.530255,0.557057,0.001169,0.035397,0.035397,7,0.001117,0,0,0,0.098898,0.893434,0
Saptono,Saptono,,91,91,182,91,91,182,2,0.523859,0.545546,0.00073,0.028698,0.028698,6,0.000921,0,0,0,0.096215,0.724233,0
Usuf Khan,Usuf Khan,,106,106,212,106,106,212,2,0.528013,0.553053,0.00101,0.033208,0.033208,2,0.001049,0,0,0,0.10009,0.838037,0
Faheem Akhtar,Faheem Akhtar,,105,105,210,105,105,210,2,0.527734,0.552553,0.000984,0.032924,0.032924,8,0.00104,0,0,0,0.100183,0.830971,0
Jonathan,Jonathan,,102,102,204,102,102,204,2,0.526899,0.551051,0.000925,0.031982,0.031982,7,0.001014,0,0,0,0.098427,0.807177,0
Ghulam Hyder Samejo,Ghulam Hyder Samejo,,96,96,192,96,96,192,2,0.525237,0.548048,0.00081,0.030126,0.030126,7,0.000963,0,0,0,0.098465,0.760371,0
Khusheed,Khusheed,,114,114,228,114,114,228,2,0.530255,0.557057,0.001146,0.036026,0.036026,1,0.001115,0,0,0,0.098587,0.90899,0
Jasmine,Jasmine,,98,98,196,98,98,196,2,0.525789,0.549049,0.000838,0.03084,0.03084,8,0.00098,0,0,0,0.105618,0.778304,0
Irfan,Irfan,,104,104,208,104,104,208,2,0.527455,0.552052,0.000986,0.032294,0.032294,0,0.001033,0,0,0,0.09522,0.815199,0
Syed,Syed,,98,98,196,98,98,196,2,0.525789,0.549049,0.000808,0.031588,0.031588,5,0.000977,0,0,0,0.104355,0.796865,0
Komal Khan,Komal Khan,,91,91,182,91,91,182,2,0.523859,0.545546,0.000738,0.028425,0.028425,4,0.000921,0,0,0,0.097436,0.717408,0
Mehmood Shah,Mehmood Shah,,117,117,234,117,117,234,2,0.5311,0.558559,0.001234,0.036638,0.036638,6,0.001143,0,0,0,0.103301,0.924606,0
